1;2
h[c];SLC16A1
2hb[c];SLC16A1
h[c];SLC16A3
2hb[c];SLC16A3
h[c];SLC16A7
2hb[c];SLC16A7
hco3[c];SLC4A4
na1[c];SLC4A4
hco3[c];SLC4A5
na1[c];SLC4A5
34dhphe[c];SLC16A10
5mthf[c];FOLR1
5mthf[c];FOLR3
na1[c];SLC6A1
4abut[c];SLC6A1
na1[c];SLC6A11
4abut[c];SLC6A11
na1[c];SLC6A12
4abut[c];SLC6A12
na1[c];SLC6A13
4abut[c];SLC6A13
acetone[c];SLC16A1
acetone[c];SLC16A3
acetone[c];SLC16A7
ade[c];SLC29A2
adn[c];SLC29A1
adn[c];SLC29A2
na1[e];SLC28A1
adn[e];SLC28A1
na1[e];SLC28A2
adn[e];SLC28A2
na1[e];SLC28A3
adn[e];SLC28A3
adprib[e];CD38
akg[c];SLC13A3
na1[c];SLC13A3
na1[e];ACE2
ala_L[e];ACE2
na1[e];CLTRN
ala_L[e];CLTRN
na1[e];SLC38A1
ala_L[e];SLC38A1
na1[e];SLC38A2
ala_L[e];SLC38A2
na1[e];SLC38A4
ala_L[e];SLC38A4
na1[e];SLC6A14
ala_L[e];SLC6A14
na1[e];SLC6A19
ala_L[e];SLC6A19
na1[e];SLC7A1
ala_L[e];SLC7A1
na1[e];SLC7A2
ala_L[e];SLC7A2
na1[e];SLC7A3
ala_L[e];SLC7A3
h[e];SLC38A3
na1[c];SLC38A3
ala_L[c];SLC38A3
h[e];SLC38A5
na1[c];SLC38A5
ala_L[c];SLC38A5
arachd[c];SLC27A5
arg_L[e];SLC6A14
na1[c];SLC23A1
ascb_L[c];SLC23A1
na1[c];SLC23A2
ascb_L[c];SLC23A2
asn_L[e];ACE2
asn_L[e];CLTRN
asn_L[e];SLC38A1
asn_L[e];SLC38A2
asn_L[e];SLC38A4
asn_L[e];SLC6A14
asn_L[e];SLC6A19
asn_L[c];SLC38A3
asn_L[c];SLC38A5
btn[c];SLC16A1
h2o[c];SLC5A6
na1[e];SLC5A6
btn[e];SLC5A6
h[e];SLC15A2
cgly[e];SLC15A2
na1[e];SLC10A1
cholate[e];SLC10A1
na1[e];SLC10A2
cholate[e];SLC10A2
na1[c];SLC5A7
chol[c];SLC5A7
chol[c];SLC22A2
chol[c];SLC22A5
na1[c];SLC13A2
cit[c];SLC13A2
na1[c];SLC6A10P
creat[c];SLC6A10P
na1[c];SLC6A8
creat[c];SLC6A8
crn[c];SLC22A5
na1[e];SLC22A5
crn[e];SLC22A5
csn[c];SLC29A2
cys_L[e];ACE2
cys_L[e];CLTRN
cys_L[e];SLC38A2
cys_L[e];SLC6A14
cys_L[e];SLC6A19
cys_L[c];SLC43A2
cytd[c];SLC29A1
cytd[c];SLC29A2
cytd[e];SLC28A1
cytd[e];SLC28A3
dad_2[c];SLC29A2
h[c];SLC36A1
ala_D[c];SLC36A1
dcyt[c];SLC29A2
debrisoquine[c];SLC22A2
dgsn[c];SLC29A2
dhdascb[c];SLC2A1
dhdascb[c];SLC2A3
dhdascb[c];SLC2A4
din[c];SLC29A2
lac_D[c];SLC16A1
lac_D[c];SLC16A3
lac_D[c];SLC16A7
h[c];SLC16A8
lac_D[c];SLC16A8
dlnlcg[c];SLC27A5
na1[c];SLC6A2
dopa[c];SLC6A2
na1[c];SLC6A3
dopa[c];SLC6A3
dopa[c];SLC22A2
dopa[c];SLC22A3
dopa[c];SLC22A5
duri[c];SLC29A2
elaid[c];SLC27A2
estrones[e];SLC10A1
fru[c];SLC2A11
fru[c];SLC2A2
fru[c];SLC2A5
fru[c];SLC2A7
fru[c];SLC2A8
gal[c];SLC2A1
gal[c];SLC2A10
gal[c];SLC2A2
gal[c];SLC2A3
gal[c];SLC2A8
gam[c];SLC2A1
gam[c];SLC2A2
gam[c];SLC2A4
gchola[e];SLC10A1
gchola[e];SLC10A2
glc_D[c];SLC2A1
glc_D[c];SLC2A10
glc_D[c];SLC2A11
glc_D[c];SLC2A12
glc_D[c];SLC2A14
glc_D[c];SLC2A2
glc_D[c];SLC2A3
glc_D[c];SLC2A4
glc_D[c];SLC2A6
glc_D[c];SLC2A7
glc_D[c];SLC2A8
glc_D[c];SLC2A9
h[c];SLC5A1
glc_D[c];SLC5A1
gln_L[c];SLC38A3
gln_L[c];SLC38A5
glyb[c];SLC6A12
gly[e];ACE2
gly[e];CLTRN
gly[e];SLC38A1
gly[e];SLC38A2
gly[e];SLC38A4
gly[e];SLC6A14
gly[e];SLC6A19
na1[c];SLC6A9
gly[c];SLC6A9
cl[c];SLC6A9
gsn[c];SLC29A1
gsn[c];SLC29A2
gsn[e];SLC28A2
gsn[e];SLC28A3
hdca[c];SLC27A5
hdcea[c];SLC27A2
his_L[e];SLC38A2
his_L[e];SLC6A14
hista[c];SLC22A2
hista[c];SLC22A3
hista[c];SLC22A5
his_L[e];SLC38A4
his_L[c];SLC38A3
hom_L[e];SLC7A1
hom_L[e];SLC7A2
hom_L[e];SLC7A3
ile_L[e];ACE2
ile_L[e];CLTRN
ile_L[e];SLC6A14
ile_L[e];SLC6A19
ile_L[c];SLC43A1
ile_L[c];SLC43A2
ins[c];SLC29A1
ins[c];SLC29A2
ins[e];SLC28A2
ins[e];SLC28A3
h[c];SLC2A13
inost[c];SLC2A13
na1[c];SLC5A3
inost[c];SLC5A3
i[c];SLC5A8
nh4[c];SLC12A4
cl[c];SLC12A4
nh4[c];SLC12A6
cl[c];SLC12A6
nh4[c];SLC12A7
cl[c];SLC12A7
k[c];SLC12A4
k[c];SLC12A5
cl[c];SLC12A5
k[c];SLC12A6
k[c];SLC12A7
leuktrA4[c];SLC22A10
leuktrB4[c];SLC22A10
leuktrE4[c];SLC22A10
leuktrF4[c];SLC22A10
leu_L[e];ACE2
leu_L[e];CLTRN
leu_L[e];SLC38A1
leu_L[e];SLC38A4
na1[e];SLC3A2
leu_L[e];SLC3A2
leu_L[e];SLC6A14
leu_L[e];SLC6A19
leu_L[e];SLC7A1
leu_L[e];SLC7A2
leu_L[e];SLC7A3
leu_L[c];SLC43A1
leu_L[c];SLC43A2
lgnc[c];SLC27A2
lipoate[e];SLC5A6
lnlc[c];SLC27A5
lnlnca[c];SLC27A5
lnlncg[c];SLC27A5
lys_L[e];SLC22A5
lys_L[e];SLC6A14
lys_L[e];SLC38A4
lys_L[e];SLC7A1
lys_L[e];SLC7A2
lys_L[e];SLC7A3
malt[c];SLC2A3
man[c];SLC2A1
man[c];SLC2A2
man[c];SLC2A3
met_L[e];ACE2
met_L[e];CLTRN
met_L[e];SLC22A5
met_L[e];SLC38A1
met_L[e];SLC38A2
met_L[e];SLC6A14
met_L[e];SLC6A19
met_L[c];SLC43A1
met_L[c];SLC43A2
na1[c];SLC5A5
i[c];SLC5A5
na1[c];SLC5A1
na1[e];SLC12A3
cl[e];SLC12A3
na1[e];SLC24A1
k[c];SLC24A1
na1[e];SLC24A2
k[c];SLC24A2
na1[e];SLC24A3
k[c];SLC24A3
na1[e];SLC24A4
k[c];SLC24A4
nh4[c];SLC24A1
nh4[c];SLC24A2
nh4[c];SLC12A1
na1[c];SLC12A1
cl[c];SLC12A1
nh4[c];SLC12A2
na1[c];SLC12A2
cl[c];SLC12A2
k[c];SLC12A1
k[c];SLC12A2
nrpphr[c];SLC6A2
nrpphr[c];SLC6A3
nrpphr[c];SLC22A1
nrpphr[c];SLC22A2
nrpphr[c];SLC22A3
ocdca[c];SLC27A5
ocdcea[c];SLC27A5
orn[e];SLC7A1
orn[e];SLC7A2
orn[e];SLC7A3
phe_L[e];ACE2
phe_L[e];CLTRN
phe_L[e];SLC38A1
phe_L[e];SLC38A2
phe_L[e];SLC38A4
phe_L[e];SLC6A14
phe_L[e];SLC6A19
phe_L[e];SLC7A1
phe_L[e];SLC7A2
phe_L[e];SLC7A3
phe_L[c];SLC16A10
phe_L[c];SLC43A1
phe_L[c];SLC43A2
pnto_R[e];SLC5A6
pro_D[c];SLC36A1
prostge2[c];SLC22A1
prostge2[c];SLC22A2
prostgf2[c];SLC22A1
prostgf2[c];SLC22A2
pro_L[e];ACE2
pro_L[e];CLTRN
pro_L[e];SLC38A1
pro_L[e];SLC38A2
pro_L[e];SLC38A4
pro_L[e];SLC6A19
h2o[c];SLC52A3
ribflv[e];SLC52A3
na1[c];SLC13A1
sel[c];SLC13A1
ser_L[e];ACE2
ser_L[e];CLTRN
ser_L[e];SLC38A1
ser_L[e];SLC38A2
ser_L[e];SLC38A4
ser_L[e];SLC6A14
ser_L[e];SLC6A19
ser_L[c];SLC38A5
na1[c];SLC13A4
so4[c];SLC13A4
srtn[c];SLC22A1
srtn[c];SLC22A2
succ[c];SLC13A2
na1[c];SLC6A6
taur[c];SLC6A6
tchola[e];SLC10A1
tchola[e];SLC10A2
thymd[e];SLC28A1
thymd[e];SLC28A3
thr_L[e];ACE2
thr_L[e];CLTRN
thr_L[e];SLC38A1
thr_L[e];SLC38A2
thr_L[e];SLC6A14
thr_L[e];SLC6A19
thymd[e];SLC29A1
thymd[e];SLC29A2
thym[c];SLC29A2
thyox_L[c];SLC16A2
triodthy[c];SLC16A2
trp_L[e];ACE2
trp_L[e];CLTRN
trp_L[e];SLC6A14
trp_L[e];SLC6A19
tsul[c];SLC13A1
ttdca[c];SLC27A2
tyr_L[c];SLC16A10
tyr_L[e];ACE2
tyr_L[e];CLTRN
tyr_L[e];SLC6A14
tyr_L[e];SLC6A19
ura[c];SLC29A2
h2o[c];SLC5A1
urea[c];SLC5A1
uri[c];SLC29A1
uri[c];SLC29A2
uri[e];SLC28A1
uri[e];SLC28A2
uri[e];SLC28A3
val_L[e];ACE2
val_L[e];CLTRN
val_L[e];SLC6A14
val_L[e];SLC6A19
val_L[c];SLC43A1
val_L[c];SLC43A2
HC01787[e];SLC10A1
dad_2[e];SLC28A1
dad_2[e];SLC28A3
dcyt[e];SLC28A1
dcyt[e];SLC28A3
dgsn[e];SLC28A2
dgsn[e];SLC28A3
C02528[e];SLC10A1
tdchola[e];SLC10A1
dgchol[e];SLC10A1
HC02192[e];SLC10A1
HC02193[e];SLC10A1
HC02195[e];SLC10A1
HC02196[e];SLC10A1
HC02220[e];SLC10A1
na1[e];SLC6A6
cl[e];SLC6A6
taur[e];SLC6A6
na1[e];SLC7A6
ala_L[c];SLC7A6
gly[e];SLC7A6
gln_L[c];SLC7A6
cys_L[c];SLC7A6
asn_L[c];SLC7A6
gly[c];SLC7A6
ser_L[e];SLC7A6
met_L[e];SLC7A6
ser_L[c];SLC7A6
thr_L[c];SLC7A6
trp_L[e];SLC7A6
leu_L[c];SLC7A6
hom_L[c];SLC7A6
ile_L[c];SLC7A6
phe_L[e];SLC7A6
met_L[c];SLC7A6
tyr_L[e];SLC7A6
leu_L[e];SLC7A6
pro_L[e];SLC7A6
phe_L[c];SLC7A6
val_L[e];SLC7A6
trp_L[c];SLC7A6
tyr_L[c];SLC7A6
pro_L[c];SLC7A6
thr_L[e];SLC7A6
hom_L[e];SLC7A6
ile_L[e];SLC7A6
lys_L[c];SLC7A6
arg_L[c];SLC7A6
his_L[c];SLC7A6
orn[c];SLC7A6
leuktrC4[c];SLC22A10
estrones[c];SLC22A10
dheas[c];SLC22A10
bildglcur[c];SLC22A10
wharachd[c];SLC22A10
HC02180[c];SLC22A10
HC02187[c];SLC22A10
bilglcur[c];SLC22A10
HC02202[c];SLC22A10
HC02203[c];SLC22A10
HC02204[c];SLC22A10
HC02205[c];SLC22A10
HC02206[c];SLC22A10
HC02207[c];SLC22A10
HC02208[c];SLC22A10
prostgd2[c];SLC22A10
HC02210[c];SLC22A10
prostge1[c];SLC22A10
HC02213[c];SLC22A10
HC02214[c];SLC22A10
HC02216[c];SLC22A10
HC02217[c];SLC22A10
prostgh2[c];SLC22A10
prostgi2[c];SLC22A10
na1[e];SLC23A1
ascb_L[e];SLC23A1
duri[e];SLC28A1
duri[e];SLC28A3
din[e];SLC28A2
din[e];SLC28A3
na1[c];SLC13A5
cit[c];SLC13A5
na1[c];SLC6A5
gly[c];SLC6A5
cl[c];SLC6A5
hco3[c];SLC4A7
na1[c];SLC4A7
na1[c];SLC5A11
inost[c];SLC5A11
pi[c];SLC20A1
na1[c];SLC20A1
pi[c];SLC20A2
na1[c];SLC20A2
pi[c];SLC34A3
na1[c];SLC34A3
na1[c];SLC6A7
pro_L[c];SLC6A7
dca[c];SLC27A2
cl[e];CLTRN
4hpro_LT[e];CLTRN
na1[e];SLC6A20
cl[e];SLC6A20
4hpro_LT[e];SLC6A20
h[e];SLC15A1
alaala[e];SLC15A1
cl[e];SLC6A14
h2o[c];SLC23A1
h2o[c];SLC23A2
na1[e];SLC23A2
ascb_L[e];SLC23A2
ala_B[e];SLC6A6
h[e];SLC36A1
ala_B[e];SLC36A1
carn[e];SLC15A1
adocbl[e];AMN
adocbl[e];CBLIF
adocbl[e];CUBN
cys_L[c];SLC38A5
h[e];SLC46A1
fol[e];SLC46A1
na1[e];SLC5A1
gal[e];SLC5A1
glc_D[e];SLC5A1
gln_L[e];SLC6A14
glygly[e];SLC15A1
glyphe[e];SLC15A1
glypro[e];SLC15A1
glysar[e];SLC15A1
gly[c];SLC38A5
his_L[c];SLC38A5
arg_L[c];SLC3A2
his_L[e];SLC3A2
his_L[e];SLC7A6
na1[e];SLC7A7
arg_L[c];SLC7A7
his_L[e];SLC7A7
h[e];SLC3A2
h[e];SLC7A6
h[e];SLC7A7
leugly[e];SLC15A1
leuleu[e];SLC15A1
leu_L[e];SLC7A7
met_L[e];SLC3A2
met_L[e];SLC7A7
h[e];SLC22A13
nac[e];SLC22A13
phe_L[e];SLC3A2
phe_L[e];SLC7A7
progly[e];SLC15A1
pro_L[e];SLC6A20
taur[e];SLC36A1
h[e];SLC11A2
fe2[e];SLC11A2
Lkynr[c];SLC43A1
Lkynr[c];SLC43A2
na1[e];SLC6A18
ala_L[e];SLC6A18
cl[e];SLC6A18
ala_L[c];SLC36A4
arg_L[e];CLTRN
arg_L[e];SLC6A18
asn_L[e];SLC6A18
cl[c];SLC6A12
na1[c];SLC5A8
but[c];SLC5A8
crn[e];SLC6A14
cys_L[e];SLC6A18
h[c];SLC29A4
dopa[c];SLC29A4
h2o[c];ABCA8
estradiolglc[e];ABCA8
estrones[e];ABCA8
na1[c];SLC22A6
akg[e];SLC22A6
fol[c];SLC22A6
gln_L[e];CLTRN
gln_L[e];SLC6A18
glu_L[e];CLTRN
glu_L[e];SLC6A18
gly[e];SLC6A18
h[c];SLC28A3
gsn[c];SLC28A3
h2o[c];AQP10
glyc[c];AQP10
h2o[c];AQP3
glyc[c];AQP3
h2o[c];AQP7
glyc[c];AQP7
h2o[c];AQP9
glyc[c];AQP9
ile_L[e];SLC6A18
leu_L[e];SLC6A18
leuktrC4[e];ABCA8
met_L[e];SLC6A18
nac[c];SLC5A8
phe_L[e];SLC6A18
ppa[c];SLC5A8
pro_L[c];SLC36A4
pyr[c];SLC5A8
h2o[c];ABCA4
retinal[e];ABCA4
ser_L[e];SLC6A18
srtn[c];SLC29A4
tchola[e];ABCA8
trp_L[e];SLC6A18
tyr_L[e];SLC6A18
val_L[e];SLC6A18
na1[c];SLC5A10
fru[c];SLC5A10
na1[c];SLC5A9
fru[c];SLC5A9
gal[c];SLC5A10
na1[c];SLC5A2
gal[c];SLC5A2
gal[c];SLC5A9
glc_D[c];SLC5A10
glc_D[c];SLC5A11
na1[c];SLC5A12
glc_D[c];SLC5A12
glc_D[c];SLC5A2
glc_D[c];SLC5A3
glc_D[c];SLC5A9
man[c];SLC5A10
man[c];SLC5A9
pheme[e];LRP1
pheme[e];SLC46A1
trp_L[c];SLC16A10
trp_L[c];SLC36A4
vitd3[e];CD36
vitd3[e];GOT2
25hvitd3[e];CUBN
25hvitd3[e];GC
25hvitd3[e];LRP2
avite1[e];NPC1L1
avite1[e];SCARB1
fol[e];FOLR1
fol[e];FOLR2
fol[e];FOLR3
lac_L[c];SLC5A8
h[c];SLC15A1
alaargcys[c];SLC15A1
h[c];SLC15A2
alaargcys[c];SLC15A2
alaarggly[c];SLC15A1
alaarggly[c];SLC15A2
alaasnleu[c];SLC15A1
alaasnleu[c];SLC15A2
alaglylys[c];SLC15A1
alaglylys[c];SLC15A2
alahisala[c];SLC15A1
alahisala[c];SLC15A2
alalysthr[c];SLC15A1
alalysthr[c];SLC15A2
argalaala[c];SLC15A1
argalaala[c];SLC15A2
argalaphe[c];SLC15A1
argalaphe[c];SLC15A2
argalathr[c];SLC15A1
argalathr[c];SLC15A2
argarg[c];SLC15A1
argarg[c];SLC15A2
argarglys[c];SLC15A1
argarglys[c];SLC15A2
argargmet[c];SLC15A1
argargmet[c];SLC15A2
argcysgly[c];SLC15A1
argcysgly[c];SLC15A2
argcysser[c];SLC15A1
argcysser[c];SLC15A2
arggluglu[c];SLC15A1
arggluglu[c];SLC15A2
argglupro[c];SLC15A1
argglupro[c];SLC15A2
argglygly[c];SLC15A1
argglygly[c];SLC15A2
arghisthr[c];SLC15A1
arghisthr[c];SLC15A2
argleuphe[c];SLC15A1
argleuphe[c];SLC15A2
arglysasp[c];SLC15A1
arglysasp[c];SLC15A2
argphearg[c];SLC15A1
argphearg[c];SLC15A2
argpromet[c];SLC15A1
argpromet[c];SLC15A2
argprothr[c];SLC15A1
argprothr[c];SLC15A2
argserser[c];SLC15A1
argserser[c];SLC15A2
argtyrval[c];SLC15A1
argtyrval[c];SLC15A2
argvalcys[c];SLC15A1
argvalcys[c];SLC15A2
argvaltrp[c];SLC15A1
argvaltrp[c];SLC15A2
asnasnarg[c];SLC15A1
asnasnarg[c];SLC15A2
asncyscys[c];SLC15A1
asncyscys[c];SLC15A2
asnmetpro[c];SLC15A1
asnmetpro[c];SLC15A2
asnpheasp[c];SLC15A1
asnpheasp[c];SLC15A2
asnphecys[c];SLC15A1
asnphecys[c];SLC15A2
asntyrgly[c];SLC15A1
asntyrgly[c];SLC15A2
asntyrphe[c];SLC15A1
asntyrphe[c];SLC15A2
asntyrthr[c];SLC15A1
asntyrthr[c];SLC15A2
aspalaarg[c];SLC15A1
aspalaarg[c];SLC15A2
aspasnglu[c];SLC15A1
aspasnglu[c];SLC15A2
aspglu[c];SLC15A1
aspglu[c];SLC15A2
aspglupro[c];SLC15A1
aspglupro[c];SLC15A2
aspglutrp[c];SLC15A1
aspglutrp[c];SLC15A2
asphiscys[c];SLC15A1
asphiscys[c];SLC15A2
asphispro[c];SLC15A1
asphispro[c];SLC15A2
asplysglu[c];SLC15A1
asplysglu[c];SLC15A2
asplyshis[c];SLC15A1
